!9/13/2017.11:18:21.AM
!RF.CORRECTION: 12.TERM.CAL
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           
!PARAMETER:   	S11               	S12               	S21               	S22               
!GRAPH:       	LOGMAG            	LOGMAG            	LOGMAG.PHASE      	LOGMAG            
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     
PNT	FREQ1.GHZ	LOGMAG1	FREQ2.GHZ	LOGMAG2	FREQ3.GHZ	LOGMAG3	PHASE3.DEG	FREQ4.GHZ	LOGMAG4
1	0.001000000	-3.222363E+001	0.001000000	-9.222632E+001	0.001000000	-5.949482E+000	-179.5046000	0.001000000	-2.952171E+001
2	0.001006932	-3.221449E+001	0.001006932	-8.282807E+001	0.001006932	-5.954409E+000	-179.5353000	0.001006932	-2.948283E+001
3	0.001013911	-3.214737E+001	0.001013911	-8.628036E+001	0.001013911	-5.952519E+000	-179.5355000	0.001013911	-2.948356E+001
4	0.001020939	-3.219076E+001	0.001020939	-8.062579E+001	0.001020939	-5.950835E+000	-179.5385000	0.001020939	-2.952534E+001
5	0.001028016	-3.219857E+001	0.001028016	-9.533495E+001	0.001028016	-5.961586E+000	-179.4995000	0.001028016	-2.952162E+001
6	0.001035142	-3.216346E+001	0.001035142	-8.660557E+001	0.001035142	-5.952342E+000	-179.5829000	0.001035142	-2.957744E+001
7	0.001042317	-3.219070E+001	0.001042317	-9.300763E+001	0.001042317	-5.958673E+000	-179.6149000	0.001042317	-2.955706E+001
8	0.001049542	-3.219406E+001	0.001049542	-8.485122E+001	0.001049542	-5.958022E+000	-179.5657000	0.001049542	-2.957332E+001
9	0.001056818	-3.217616E+001	0.001056818	-8.261612E+001	0.001056818	-5.967726E+000	-179.5871000	0.001056818	-2.957985E+001
10	0.001064143	-3.223147E+001	0.001064143	-8.943425E+001	0.001064143	-5.960617E+000	-179.6077000	0.001064143	-2.960392E+001
11	0.001071519	-3.217884E+001	0.001071519	-8.143047E+001	0.001071519	-5.957280E+000	-179.6509000	0.001071519	-2.964987E+001
12	0.001078947	-3.219112E+001	0.001078947	-9.306762E+001	0.001078947	-5.961502E+000	-179.6038000	0.001078947	-2.963403E+001
13	0.001086426	-3.215012E+001	0.001086426	-9.407605E+001	0.001086426	-5.962764E+000	-179.6520000	0.001086426	-2.964598E+001
14	0.001093956	-3.219657E+001	0.001093956	-9.470543E+001	0.001093956	-5.955929E+000	-179.6673000	0.001093956	-2.968799E+001
