!9/11/2017.2:20:37.PM
!RF.CORRECTION.OFF
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           
!PARAMETER:   	S21               	S12               	S21               	S22               
!GRAPH:       	LOGMAG.PHASE      	LOGMAG            	LOGMAG            	LOGMAG            
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     
PNT	FREQ1.GHZ	LOGMAG1	PHASE1.DEG	FREQ2.GHZ	LOGMAG2	FREQ3.GHZ	LOGMAG3	FREQ4.GHZ	LOGMAG4
1	0.010000000	2.053227E+001	-43.6508500	0.010000000	-7.180737E+001	0.010000000	2.053227E+001	0.010000000	-1.840164E+000
2	0.010081407	2.057036E+001	-44.1160000	0.010081407	-8.298871E+001	0.010081407	2.057036E+001	0.010081407	-1.666377E+000
3	0.010163476	2.056570E+001	-44.4873400	0.010163476	-7.989816E+001	0.010163476	2.056570E+001	0.010163476	-1.641533E+000
4	0.010246213	2.056868E+001	-44.8380500	0.010246213	-7.479176E+001	0.010246213	2.056868E+001	0.010246213	-1.603692E+000
5	0.010329624	2.057163E+001	-45.1565100	0.010329624	-7.518240E+001	0.010329624	2.057163E+001	0.010329624	-1.571837E+000
6	0.010413714	2.056658E+001	-45.4852300	0.010413714	-7.115031E+001	0.010413714	2.056658E+001	0.010413714	-1.544260E+000
7	0.010498488	2.056781E+001	-45.8809400	0.010498488	-6.447193E+001	0.010498488	2.056781E+001	0.010498488	-1.506995E+000
8	0.010583953	2.056849E+001	-46.1966700	0.010583953	-6.763556E+001	0.010583953	2.056849E+001	0.010583953	-1.487246E+000
9	0.010670113	2.056967E+001	-46.5737300	0.010670113	-7.411894E+001	0.010670113	2.056967E+001	0.010670113	-1.442250E+000
10	0.010756975	2.057066E+001	-46.9327600	0.010756975	-7.250990E+001	0.010756975	2.057066E+001	0.010756975	-1.416494E+000
11	0.010844543	2.057369E+001	-47.2368400	0.010844543	-7.240609E+001	0.010844543	2.057369E+001	0.010844543	-1.383288E+000
12	0.010932825	2.056810E+001	-47.6279900	0.010932825	-7.808237E+001	0.010932825	2.056810E+001	0.010932825	-1.352833E+000
13	0.011021825	2.056890E+001	-48.0297200	0.011021825	-6.867856E+001	0.011021825	2.056890E+001	0.011021825	-1.323641E+000
14	0.011111550	2.057039E+001	-48.3613300	0.011111550	-7.017432E+001	0.011111550	2.057039E+001	0.011111550	-1.284344E+000
15	0.011202005	2.057257E+001	-48.7576400	0.011202005	-7.858875E+001	0.011202005	2.057257E+001	0.011202005	-1.252167E+000
16	0.011293197	2.057302E+001	-49.1325000	0.011293197	-6.915852E+001	0.011293197	2.057302E+001	0.011293197	-1.214542E+000
17	0.011385131	2.056936E+001	-49.4897200	0.011385131	-7.512349E+001	0.011385131	2.056936E+001	0.011385131	-1.188588E+000
18	0.011477813	2.057125E+001	-49.8955100	0.011477813	-6.828343E+001	0.011477813	2.057125E+001	0.011477813	-1.153084E+000
19	0.011571250	2.057304E+001	-50.2577600	0.011571250	-7.189498E+001	0.011571250	2.057304E+001	0.011571250	-1.113919E+000
20	0.011665448	2.057488E+001	-50.6806900	0.011665448	-6.806087E+001	0.011665448	2.057488E+001	0.011665448	-1.093340E+000
21	0.011760412	2.057167E+001	-51.0672200	0.011760412	-7.896949E+001	0.011760412	2.057167E+001	0.011760412	-1.056762E+000
22	0.011856149	2.057302E+001	-51.4723300	0.011856149	-6.329209E+001	0.011856149	2.057302E+001	0.011856149	-1.017860E+000
23	0.011952666	2.057431E+001	-51.8535300	0.011952666	-6.782174E+001	0.011952666	2.057431E+001	0.011952666	-9.843033E-001
24	0.012049969	2.057860E+001	-52.3098800	0.012049969	-6.407677E+001	0.012049969	2.057860E+001	0.012049969	-9.505961E-001
25	0.012148063	2.057483E+001	-52.6543800	0.012148063	-7.878502E+001	0.012148063	2.057483E+001	0.012148063	-9.212043E-001
26	0.012246956	2.057506E+001	-53.0968800	0.012246956	-6.873460E+001	0.012246956	2.057506E+001	0.012246956	-8.837298E-001
27	0.012346655	2.057747E+001	-53.5092000	0.012346655	-7.006879E+001	0.012346655	2.057747E+001	0.012346655	-8.518391E-001
28	0.012447164	2.058076E+001	-53.9187200	0.012447164	-7.339883E+001	0.012447164	2.058076E+001	0.012447164	-8.074443E-001
29	0.012548492	2.057637E+001	-54.3466400	0.012548492	-6.545567E+001	0.012548492	2.057637E+001	0.012548492	-7.768602E-001
30	0.012650645	2.057767E+001	-54.7713300	0.012650645	-7.264127E+001	0.012650645	2.057767E+001	0.012650645	-7.437622E-001
31	0.012753630	2.057706E+001	-55.2041600	0.012753630	-6.660037E+001	0.012753630	2.057706E+001	0.012753630	-6.986331E-001
32	0.012857453	2.057784E+001	-55.6584500	0.012857453	-6.805965E+001	0.012857453	2.057784E+001	0.012857453	-6.674802E-001
33	0.012962121	2.058008E+001	-56.0468900	0.012962121	-6.893502E+001	0.012962121	2.058008E+001	0.012962121	-6.315839E-001
34	0.013067641	2.058575E+001	-56.5346100	0.013067641	-7.074798E+001	0.013067641	2.058575E+001	0.013067641	-5.916998E-001
35	0.013174020	2.058445E+001	-56.9656800	0.013174020	-6.909351E+001	0.013174020	2.058445E+001	0.013174020	-5.519629E-001
