!9/13/2017.11:18:55.AM
!RF.CORRECTION: 12.TERM.CAL
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           
!PARAMETER:   	S11               	S12               	S21               	S22               
!GRAPH:       	LOGMAG            	LOGMAG            	LOGMAG.PHASE      	LOGMAG            
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     
PNT	FREQ1.GHZ	LOGMAG1	FREQ2.GHZ	LOGMAG2	FREQ3.GHZ	LOGMAG3	PHASE3.DEG	FREQ4.GHZ	LOGMAG4
1	0.001000000	-3.228356E+001	0.001000000	-7.862489E+001	0.001000000	3.630113E-001	-0.0670592	0.001000000	-2.986577E+001
2	0.001006932	-3.228070E+001	0.001006932	-9.179367E+001	0.001006932	3.584769E-001	-0.0634843	0.001006932	-2.985089E+001
3	0.001013911	-3.222697E+001	0.001013911	-8.722650E+001	0.001013911	3.648205E-001	-0.0952370	0.001013911	-2.986551E+001
4	0.001020939	-3.229975E+001	0.001020939	-8.572948E+001	0.001020939	3.683049E-001	-0.1039877	0.001020939	-2.990667E+001
5	0.001028016	-3.231583E+001	0.001028016	-8.223134E+001	0.001028016	3.625260E-001	-0.0750611	0.001028016	-2.991181E+001
6	0.001035142	-3.229442E+001	0.001035142	-9.455725E+001	0.001035142	3.655401E-001	-0.1481148	0.001035142	-2.995488E+001
7	0.001042317	-3.229784E+001	0.001042317	-8.879512E+001	0.001042317	3.592000E-001	-0.2339052	0.001042317	-2.991540E+001
8	0.001049542	-3.230997E+001	0.001049542	-8.552682E+001	0.001049542	3.671018E-001	-0.1409309	0.001049542	-2.993730E+001
9	0.001056818	-3.231329E+001	0.001056818	-9.099030E+001	0.001056818	3.588330E-001	-0.1846837	0.001056818	-2.997421E+001
10	0.001064143	-3.234626E+001	0.001064143	-8.949268E+001	0.001064143	3.689046E-001	-0.1835065	0.001064143	-2.998515E+001
11	0.001071519	-3.228757E+001	0.001071519	-8.193811E+001	0.001071519	3.678877E-001	-0.2009819	0.001071519	-2.999343E+001
12	0.001078947	-3.231433E+001	0.001078947	-8.193600E+001	0.001078947	3.661112E-001	-0.2145478	0.001078947	-3.002666E+001
13	0.001086426	-3.228579E+001	0.001086426	-8.260213E+001	0.001086426	3.567590E-001	-0.2059400	0.001086426	-3.002848E+001
14	0.001093956	-3.231004E+001	0.001093956	-8.897598E+001	0.001093956	3.666180E-001	-0.2510889	0.001093956	-3.002188E+001
15	0.001101539	-3.225872E+001	0.001101539	-8.587128E+001	0.001101539	3.588744E-001	-0.2298361	0.001101539	-3.005384E+001
16	0.001109175	-3.227177E+001	0.001109175	-9.791913E+001	0.001109175	3.644720E-001	-0.3067612	0.001109175	-3.008288E+001
17	0.001116863	-3.228172E+001	0.001116863	-8.601038E+001	0.001116863	3.613366E-001	-0.2899060	0.001116863	-3.009783E+001
18	0.001124605	-3.227959E+001	0.001124605	-8.582149E+001	0.001124605	3.620140E-001	-0.3386293	0.001124605	-3.014897E+001
19	0.001132400	-3.227248E+001	0.001132400	-9.249171E+001	0.001132400	3.680143E-001	-0.3944355	0.001132400	-3.013041E+001
20	0.001140250	-3.231842E+001	0.001140250	-8.383834E+001	0.001140250	3.636203E-001	-0.3522236	0.001140250	-3.012134E+001
21	0.001148154	-3.229296E+001	0.001148154	-8.274014E+001	0.001148154	3.735692E-001	-0.3828556	0.001148154	-3.014534E+001
22	0.001156112	-3.228436E+001	0.001156112	-8.077357E+001	0.001156112	3.648967E-001	-0.3536578	0.001156112	-3.018158E+001
23	0.001164126	-3.224539E+001	0.001164126	-9.907323E+001	0.001164126	3.643592E-001	-0.3791314	0.001164126	-3.023134E+001
24	0.001172195	-3.229126E+001	0.001172195	-8.315683E+001	0.001172195	3.623679E-001	-0.4580132	0.001172195	-3.023047E+001
25	0.001180321	-3.230239E+001	0.001180321	-8.220502E+001	0.001180321	3.681645E-001	-0.4704661	0.001180321	-3.022425E+001
26	0.001188502	-3.224675E+001	0.001188502	-9.108643E+001	0.001188502	3.645915E-001	-0.4866607	0.001188502	-3.020202E+001
27	0.001196741	-3.234898E+001	0.001196741	-8.225923E+001	0.001196741	3.698599E-001	-0.4122511	0.001196741	-3.025334E+001
28	0.001205036	-3.229520E+001	0.001205036	-8.410083E+001	0.001205036	3.693202E-001	-0.4987211	0.001205036	-3.025827E+001
29	0.001213389	-3.226705E+001	0.001213389	-8.323671E+001	0.001213389	3.572959E-001	-0.4975369	0.001213389	-3.029931E+001
30	0.001221800	-3.225544E+001	0.001221800	-8.645200E+001	0.001221800	3.570723E-001	-0.4861577	0.001221800	-3.027372E+001
31	0.001230269	-3.228947E+001	0.001230269	-8.903738E+001	0.001230269	3.735322E-001	-0.4995361	0.001230269	-3.025879E+001
32	0.001238797	-3.230812E+001	0.001238797	-8.621657E+001	0.001238797	3.700249E-001	-0.4755111	0.001238797	-3.032840E+001
33	0.001247384	-3.220519E+001	0.001247384	-9.049549E+001	0.001247384	3.590141E-001	-0.5623434	0.001247384	-3.036588E+001
34	0.001256030	-3.230085E+001	0.001256030	-8.282479E+001	0.001256030	3.651384E-001	-0.5698292	0.001256030	-3.034951E+001
35	0.001264736	-3.232168E+001	0.001264736	-8.826402E+001	0.001264736	3.713992E-001	-0.5455098	0.001264736	-3.035179E+001
36	0.001273503	-3.222549E+001	0.001273503	-8.783493E+001	0.001273503	3.668211E-001	-0.5864742	0.001273503	-3.035947E+001
37	0.001282331	-3.230275E+001	0.001282331	-8.476118E+001	0.001282331	3.677369E-001	-0.6211347	0.001282331	-3.035337E+001
38	0.001291219	-3.228422E+001	0.001291219	-8.096559E+001	0.001291219	3.577079E-001	-0.5764263	0.001291219	-3.042130E+001
39	0.001300170	-3.229425E+001	0.001300170	-9.266519E+001	0.001300170	3.652903E-001	-0.6250134	0.001300170	-3.039467E+001
40	0.001309182	-3.227618E+001	0.001309182	-8.918329E+001	0.001309182	3.654388E-001	-0.6294671	0.001309182	-3.042633E+001
41	0.001318257	-3.224589E+001	0.001318257	-9.485779E+001	0.001318257	3.686050E-001	-0.6623284	0.001318257	-3.043377E+001
42	0.001327394	-3.222801E+001	0.001327394	-8.474951E+001	0.001327394	3.543162E-001	-0.6722955	0.001327394	-3.043243E+001
43	0.001336596	-3.227901E+001	0.001336596	-8.454898E+001	0.001336596	3.595331E-001	-0.7209556	0.001336596	-3.048907E+001
44	0.001345860	-3.224634E+001	0.001345860	-7.924728E+001	0.001345860	3.685479E-001	-0.6821550	0.001345860	-3.045246E+001
45	0.001355189	-3.226902E+001	0.001355189	-8.441689E+001	0.001355189	3.633642E-001	-0.7036939	0.001355189	-3.050021E+001
46	0.001364583	-3.226913E+001	0.001364583	-8.247704E+001	0.001364583	3.630908E-001	-0.7118155	0.001364583	-3.048088E+001
47	0.001374042	-3.230149E+001	0.001374042	-8.353889E+001	0.001374042	3.734381E-001	-0.7823217	0.001374042	-3.048983E+001
48	0.001383566	-3.232588E+001	0.001383566	-9.232390E+001	0.001383566	3.665447E-001	-0.7354624	0.001383566	-3.050436E+001
49	0.001393157	-3.230665E+001	0.001393157	-9.106319E+001	0.001393157	3.643049E-001	-0.7546294	0.001393157	-3.048565E+001
50	0.001402814	-3.226780E+001	0.001402814	-8.535457E+001	0.001402814	3.682972E-001	-0.7745090	0.001402814	-3.052560E+001
51	0.001412538	-3.223450E+001	0.001412538	-1.060700E+002	0.001412538	3.686678E-001	-0.7900352	0.001412538	-3.053072E+001
52	0.001422329	-3.223944E+001	0.001422329	-8.850338E+001	0.001422329	3.640959E-001	-0.8198434	0.001422329	-3.052489E+001
53	0.001432188	-3.226285E+001	0.001432188	-9.089408E+001	0.001432188	3.656158E-001	-0.8643237	0.001432188	-3.058813E+001
54	0.001442115	-3.224155E+001	0.001442115	-8.472151E+001	0.001442115	3.630646E-001	-0.8982340	0.001442115	-3.055939E+001
55	0.001452112	-3.229695E+001	0.001452112	-8.448928E+001	0.001452112	3.636256E-001	-0.8821365	0.001452112	-3.060005E+001
56	0.001462177	-3.227103E+001	0.001462177	-8.853255E+001	0.001462177	3.622869E-001	-0.8821418	0.001462177	-3.057162E+001
57	0.001472313	-3.226356E+001	0.001472313	-8.824399E+001	0.001472313	3.646120E-001	-0.9526015	0.001472313	-3.059297E+001
58	0.001482518	-3.222731E+001	0.001482518	-9.033836E+001	0.001482518	3.630461E-001	-0.9745154	0.001482518	-3.058695E+001
59	0.001492794	-3.226796E+001	0.001492794	-8.705385E+001	0.001492794	3.670338E-001	-0.9621453	0.001492794	-3.061565E+001
60	0.001503142	-3.225140E+001	0.001503142	-8.693907E+001	0.001503142	3.697329E-001	-0.9789460	0.001503142	-3.061893E+001
61	0.001513561	-3.226519E+001	0.001513561	-8.334406E+001	0.001513561	3.661079E-001	-0.9765868	0.001513561	-3.066583E+001
62	0.001524053	-3.227951E+001	0.001524053	-8.756339E+001	0.001524053	3.650742E-001	-0.9627007	0.001524053	-3.064098E+001
63	0.001534617	-3.225472E+001	0.001534617	-8.804836E+001	0.001534617	3.697543E-001	-1.0319950	0.001534617	-3.065138E+001
64	0.001545254	-3.223347E+001	0.001545254	-9.803780E+001	0.001545254	3.692812E-001	-1.0437380	0.001545254	-3.068090E+001
65	0.001555966	-3.222258E+001	0.001555966	-8.919902E+001	0.001555966	3.558914E-001	-1.0677980	0.001555966	-3.067159E+001
66	0.001566751	-3.227514E+001	0.001566751	-9.288799E+001	0.001566751	3.652146E-001	-1.0610040	0.001566751	-3.065143E+001
67	0.001577611	-3.222699E+001	0.001577611	-8.956776E+001	0.001577611	3.629289E-001	-1.0994280	0.001577611	-3.066332E+001
68	0.001588547	-3.222127E+001	0.001588547	-1.012170E+002	0.001588547	3.682573E-001	-1.0652200	0.001588547	-3.071345E+001
69	0.001599558	-3.226170E+001	0.001599558	-8.349964E+001	0.001599558	3.685627E-001	-1.1399020	0.001599558	-3.070507E+001
70	0.001610646	-3.226163E+001	0.001610646	-9.296373E+001	0.001610646	3.657529E-001	-1.1578060	0.001610646	-3.068979E+001
71	0.001621810	-3.225638E+001	0.001621810	-8.551808E+001	0.001621810	3.703462E-001	-1.1611320	0.001621810	-3.073161E+001
72	0.001633052	-3.225929E+001	0.001633052	-8.502979E+001	0.001633052	3.651899E-001	-1.1601360	0.001633052	-3.071400E+001
73	0.001644372	-3.225599E+001	0.001644372	-7.890000E+001	0.001644372	3.647414E-001	-1.1530940	0.001644372	-3.073871E+001
74	0.001655770	-3.224837E+001	0.001655770	-8.279247E+001	0.001655770	3.652636E-001	-1.1880070	0.001655770	-3.073108E+001
75	0.001667247	-3.228551E+001	0.001667247	-8.485313E+001	0.001667247	3.709001E-001	-1.1872680	0.001667247	-3.075760E+001
76	0.001678804	-3.222044E+001	0.001678804	-9.203739E+001	0.001678804	3.652189E-001	-1.2423390	0.001678804	-3.076214E+001
77	0.001690441	-3.219221E+001	0.001690441	-8.956996E+001	0.001690441	3.662216E-001	-1.2593680	0.001690441	-3.076295E+001
78	0.001702159	-3.221664E+001	0.001702159	-9.213361E+001	0.001702159	3.685627E-001	-1.2276600	0.001702159	-3.075813E+001
79	0.001713957	-3.221117E+001	0.001713957	-8.599342E+001	0.001713957	3.641488E-001	-1.2939540	0.001713957	-3.079485E+001
80	0.001725838	-3.221070E+001	0.001725838	-8.960698E+001	0.001725838	3.682055E-001	-1.2733010	0.001725838	-3.079912E+001
81	0.001737801	-3.222638E+001	0.001737801	-9.026478E+001	0.001737801	3.708511E-001	-1.3433950	0.001737801	-3.076971E+001
82	0.001749847	-3.225787E+001	0.001749847	-9.236405E+001	0.001749847	3.680376E-001	-1.3350950	0.001749847	-3.078649E+001
83	0.001761976	-3.221518E+001	0.001761976	-8.763600E+001	0.001761976	3.677683E-001	-1.3554220	0.001761976	-3.081129E+001
84	0.001774189	-3.219783E+001	0.001774189	-9.071201E+001	0.001774189	3.698471E-001	-1.3410160	0.001774189	-3.079984E+001
85	0.001786488	-3.219578E+001	0.001786488	-8.958976E+001	0.001786488	3.550776E-001	-1.3696380	0.001786488	-3.083389E+001
86	0.001798871	-3.221305E+001	0.001798871	-8.711272E+001	0.001798871	3.604347E-001	-1.3816270	0.001798871	-3.083252E+001
87	0.001811340	-3.221379E+001	0.001811340	-9.616668E+001	0.001811340	3.714333E-001	-1.3999700	0.001811340	-3.085628E+001
88	0.001823896	-3.225911E+001	0.001823896	-9.402020E+001	0.001823896	3.652617E-001	-1.4090580	0.001823896	-3.082750E+001
89	0.001836538	-3.222254E+001	0.001836538	-8.417671E+001	0.001836538	3.747064E-001	-1.4245430	0.001836538	-3.088786E+001
90	0.001849269	-3.216669E+001	0.001849269	-8.276819E+001	0.001849269	3.689327E-001	-1.4770160	0.001849269	-3.085166E+001
91	0.001862087	-3.213420E+001	0.001862087	-8.591704E+001	0.001862087	3.691628E-001	-1.4703020	0.001862087	-3.084417E+001
92	0.001874995	-3.217631E+001	0.001874995	-9.093675E+001	0.001874995	3.688803E-001	-1.4617120	0.001874995	-3.087201E+001
93	0.001887991	-3.219309E+001	0.001887991	-8.544099E+001	0.001887991	3.612756E-001	-1.5092520	0.001887991	-3.086364E+001
94	0.001901078	-3.220583E+001	0.001901078	-8.992119E+001	0.001901078	3.644273E-001	-1.5500680	0.001901078	-3.090840E+001
95	0.001914256	-3.220721E+001	0.001914256	-9.462605E+001	0.001914256	3.596456E-001	-1.5635910	0.001914256	-3.087491E+001
96	0.001927525	-3.225877E+001	0.001927525	-8.499603E+001	0.001927525	3.726176E-001	-1.5271460	0.001927525	-3.089177E+001
97	0.001940886	-3.216874E+001	0.001940886	-9.013594E+001	0.001940886	3.703149E-001	-1.5735000	0.001940886	-3.087873E+001
98	0.001954339	-3.218472E+001	0.001954339	-8.256931E+001	0.001954339	3.659494E-001	-1.5834690	0.001954339	-3.087410E+001
99	0.001967886	-3.220576E+001	0.001967886	-8.647872E+001	0.001967886	3.656006E-001	-1.6363190	0.001967886	-3.089005E+001
100	0.001981527	-3.218875E+001	0.001981527	-9.135031E+001	0.001981527	3.589731E-001	-1.6393800	0.001981527	-3.092058E+001
101	0.001995262	-3.219437E+001	0.001995262	-9.684991E+001	0.001995262	3.608459E-001	-1.6561800	0.001995262	-3.092632E+001
102	0.002009093	-3.213594E+001	0.002009093	-8.416572E+001	0.002009093	3.739041E-001	-1.6914320	0.002009093	-3.096234E+001
103	0.002023019	-3.217204E+001	0.002023019	-8.764848E+001	0.002023019	3.675124E-001	-1.6951410	0.002023019	-3.088585E+001
104	0.002037042	-3.218040E+001	0.002037042	-9.515581E+001	0.002037042	3.684476E-001	-1.7575160	0.002037042	-3.093818E+001
105	0.002051162	-3.214522E+001	0.002051162	-9.071609E+001	0.002051162	3.661683E-001	-1.6964500	0.002051162	-3.091478E+001
106	0.002065380	-3.217949E+001	0.002065380	-8.349319E+001	0.002065380	3.645815E-001	-1.7332100	0.002065380	-3.092797E+001
107	0.002079697	-3.218846E+001	0.002079697	-9.183429E+001	0.002079697	3.660251E-001	-1.7952390	0.002079697	-3.093716E+001
108	0.002094112	-3.216330E+001	0.002094112	-8.111884E+001	0.002094112	3.666246E-001	-1.8553640	0.002094112	-3.096718E+001
109	0.002108628	-3.214266E+001	0.002108628	-8.984145E+001	0.002108628	3.637079E-001	-1.8165190	0.002108628	-3.096705E+001
110	0.002123244	-3.216701E+001	0.002123244	-1.003142E+002	0.002123244	3.684414E-001	-1.8400900	0.002123244	-3.091380E+001
111	0.002137962	-3.218610E+001	0.002137962	-9.782097E+001	0.002137962	3.681008E-001	-1.8599320	0.002137962	-3.097086E+001
112	0.002152782	-3.215740E+001	0.002152782	-9.365550E+001	0.002152782	3.645130E-001	-1.8718710	0.002152782	-3.098176E+001
113	0.002167704	-3.215088E+001	0.002167704	-8.569777E+001	0.002167704	3.655111E-001	-1.8953560	0.002167704	-3.096931E+001
114	0.002182730	-3.221573E+001	0.002182730	-8.223517E+001	0.002182730	3.681793E-001	-1.8787890	0.002182730	-3.101364E+001
115	0.002197860	-3.214581E+001	0.002197860	-8.277553E+001	0.002197860	3.627065E-001	-1.9184600	0.002197860	-3.098138E+001
116	0.002213095	-3.215621E+001	0.002213095	-8.907571E+001	0.002213095	3.682953E-001	-1.9284330	0.002213095	-3.098100E+001
117	0.002228435	-3.215607E+001	0.002228435	-8.521280E+001	0.002228435	3.605543E-001	-1.9424210	0.002228435	-3.096070E+001
118	0.002243882	-3.219148E+001	0.002243882	-8.705062E+001	0.002243882	3.707023E-001	-1.9778520	0.002243882	-3.096363E+001
119	0.002259436	-3.213586E+001	0.002259436	-8.355536E+001	0.002259436	3.707955E-001	-2.0038070	0.002259436	-3.098008E+001
120	0.002275097	-3.215501E+001	0.002275097	-9.113198E+001	0.002275097	3.707218E-001	-2.0416180	0.002275097	-3.097704E+001
121	0.002290868	-3.214290E+001	0.002290868	-8.271501E+001	0.002290868	3.681336E-001	-2.0483030	0.002290868	-3.098209E+001
122	0.002306747	-3.214468E+001	0.002306747	-8.903264E+001	0.002306747	3.703182E-001	-2.0786600	0.002306747	-3.101225E+001
123	0.002322737	-3.214753E+001	0.002322737	-8.971216E+001	0.002322737	3.682131E-001	-2.0630210	0.002322737	-3.099847E+001
124	0.002338837	-3.213021E+001	0.002338837	-8.172349E+001	0.002338837	3.665937E-001	-2.1063760	0.002338837	-3.100465E+001
125	0.002355049	-3.215257E+001	0.002355049	-9.022359E+001	0.002355049	3.649628E-001	-2.1432900	0.002355049	-3.104229E+001
126	0.002371374	-3.215746E+001	0.002371374	-9.110534E+001	0.002371374	3.696293E-001	-2.1678760	0.002371374	-3.099925E+001
127	0.002387811	-3.214124E+001	0.002387811	-8.949194E+001	0.002387811	3.729108E-001	-2.1514010	0.002387811	-3.100565E+001
128	0.002404363	-3.212419E+001	0.002404363	-8.761771E+001	0.002404363	3.668654E-001	-2.1939150	0.002404363	-3.100090E+001
129	0.002421029	-3.210844E+001	0.002421029	-8.887285E+001	0.002421029	3.677303E-001	-2.1974430	0.002421029	-3.098999E+001
130	0.002437811	-3.212399E+001	0.002437811	-8.904044E+001	0.002437811	3.748104E-001	-2.2365290	0.002437811	-3.101864E+001
131	0.002454709	-3.215287E+001	0.002454709	-8.857972E+001	0.002454709	3.671442E-001	-2.2039310	0.002454709	-3.101797E+001
132	0.002471724	-3.213837E+001	0.002471724	-8.170566E+001	0.002471724	3.742423E-001	-2.2440050	0.002471724	-3.104032E+001
133	0.002488857	-3.207565E+001	0.002488857	-9.567056E+001	0.002488857	3.628608E-001	-2.3060890	0.002488857	-3.107053E+001
134	0.002506109	-3.212474E+001	0.002506109	-8.240691E+001	0.002506109	3.634584E-001	-2.3183120	0.002506109	-3.105135E+001
135	0.002523481	-3.211285E+001	0.002523481	-8.088843E+001	0.002523481	3.699165E-001	-2.3106430	0.002523481	-3.102673E+001
136	0.002540973	-3.211654E+001	0.002540973	-8.488098E+001	0.002540973	3.732880E-001	-2.3497170	0.002540973	-3.104132E+001
137	0.002558586	-3.214248E+001	0.002558586	-9.277182E+001	0.002558586	3.712399E-001	-2.3766840	0.002558586	-3.107524E+001
138	0.002576321	-3.208693E+001	0.002576321	-9.335951E+001	0.002576321	3.688680E-001	-2.4131830	0.002576321	-3.103944E+001
139	0.002594179	-3.211317E+001	0.002594179	-8.476582E+001	0.002594179	3.684866E-001	-2.4385220	0.002594179	-3.103399E+001
140	0.002612161	-3.213504E+001	0.002612161	-8.385186E+001	0.002612161	3.732528E-001	-2.4089130	0.002612161	-3.104488E+001
141	0.002630268	-3.209286E+001	0.002630268	-9.075336E+001	0.002630268	3.678135E-001	-2.4267210	0.002630268	-3.109499E+001
142	0.002648500	-3.211217E+001	0.002648500	-8.609958E+001	0.002648500	3.677374E-001	-2.5018260	0.002648500	-3.108932E+001
143	0.002666859	-3.208452E+001	0.002666859	-8.161790E+001	0.002666859	3.672584E-001	-2.4864450	0.002666859	-3.107083E+001
144	0.002685344	-3.210419E+001	0.002685344	-8.756808E+001	0.002685344	3.626936E-001	-2.5287910	0.002685344	-3.103589E+001
145	0.002703958	-3.211133E+001	0.002703958	-8.483345E+001	0.002703958	3.734794E-001	-2.5776960	0.002703958	-3.104112E+001
146	0.002722701	-3.211077E+001	0.002722701	-8.616249E+001	0.002722701	3.652560E-001	-2.5534830	0.002722701	-3.104483E+001
147	0.002741574	-3.208830E+001	0.002741574	-9.084823E+001	0.002741574	3.696949E-001	-2.6285720	0.002741574	-3.107011E+001
148	0.002760578	-3.211068E+001	0.002760578	-9.013729E+001	0.002760578	3.701304E-001	-2.6114220	0.002760578	-3.104215E+001
149	0.002779713	-3.212315E+001	0.002779713	-8.545061E+001	0.002779713	3.681127E-001	-2.6124590	0.002779713	-3.107010E+001
150	0.002798981	-3.208615E+001	0.002798981	-9.298280E+001	0.002798981	3.694148E-001	-2.6483440	0.002798981	-3.107785E+001
151	0.002818383	-3.211556E+001	0.002818383	-9.189961E+001	0.002818383	3.642964E-001	-2.6781930	0.002818383	-3.110060E+001
152	0.002837919	-3.211439E+001	0.002837919	-8.416909E+001	0.002837919	3.755811E-001	-2.7297080	0.002837919	-3.105839E+001
153	0.002857591	-3.207160E+001	0.002857591	-8.946613E+001	0.002857591	3.716947E-001	-2.7022290	0.002857591	-3.109898E+001
154	0.002877398	-3.210819E+001	0.002877398	-8.794806E+001	0.002877398	3.692432E-001	-2.7435960	0.002877398	-3.106176E+001
155	0.002897344	-3.207936E+001	0.002897344	-8.336823E+001	0.002897344	3.654540E-001	-2.7840300	0.002897344	-3.108795E+001
156	0.002917427	-3.209754E+001	0.002917427	-9.174046E+001	0.002917427	3.695499E-001	-2.8192290	0.002917427	-3.108274E+001
157	0.002937650	-3.208301E+001	0.002937650	-9.275569E+001	0.002937650	3.649142E-001	-2.8227380	0.002937650	-3.107892E+001
158	0.002958012	-3.206395E+001	0.002958012	-8.930965E+001	0.002958012	3.628051E-001	-2.8336550	0.002958012	-3.108830E+001
159	0.002978516	-3.207933E+001	0.002978516	-8.373265E+001	0.002978516	3.713179E-001	-2.8593440	0.002978516	-3.109286E+001
160	0.002999163	-3.208682E+001	0.002999163	-9.286806E+001	0.002999163	3.732262E-001	-2.9313900	0.002999163	-3.109717E+001
161	0.003019952	-3.206571E+001	0.003019952	-8.919409E+001	0.003019952	3.675628E-001	-2.9422370	0.003019952	-3.109871E+001
162	0.003040885	-3.207236E+001	0.003040885	-9.271375E+001	0.003040885	3.682188E-001	-2.8969590	0.003040885	-3.110144E+001
163	0.003061963	-3.207170E+001	0.003061963	-8.662124E+001	0.003061963	3.731469E-001	-2.9243720	0.003061963	-3.110972E+001
164	0.003083188	-3.204462E+001	0.003083188	-9.048869E+001	0.003083188	3.698851E-001	-3.0077730	0.003083188	-3.109731E+001
165	0.003104560	-3.207215E+001	0.003104560	-8.690331E+001	0.003104560	3.674230E-001	-2.9710570	0.003104560	-3.109829E+001
166	0.003126079	-3.206826E+001	0.003126079	-8.368903E+001	0.003126079	3.708863E-001	-3.0541800	0.003126079	-3.109158E+001
167	0.003147748	-3.205711E+001	0.003147748	-1.027315E+002	0.003147748	3.660989E-001	-3.0792360	0.003147748	-3.110069E+001
168	0.003169567	-3.205937E+001	0.003169567	-8.861823E+001	0.003169567	3.673269E-001	-3.0630070	0.003169567	-3.111855E+001
169	0.003191538	-3.206945E+001	0.003191538	-9.230200E+001	0.003191538	3.750046E-001	-3.1301630	0.003191538	-3.104960E+001
170	0.003213661	-3.205353E+001	0.003213661	-8.770847E+001	0.003213661	3.723320E-001	-3.1400790	0.003213661	-3.108654E+001
171	0.003235937	-3.208545E+001	0.003235937	-8.717422E+001	0.003235937	3.719538E-001	-3.1588050	0.003235937	-3.108336E+001
172	0.003258367	-3.206230E+001	0.003258367	-8.538835E+001	0.003258367	3.701181E-001	-3.2104770	0.003258367	-3.110112E+001
173	0.003280953	-3.206858E+001	0.003280953	-9.075688E+001	0.003280953	3.701970E-001	-3.2061830	0.003280953	-3.110924E+001
174	0.003303695	-3.205003E+001	0.003303695	-9.383231E+001	0.003303695	3.720811E-001	-3.2573650	0.003303695	-3.108203E+001
175	0.003326596	-3.211468E+001	0.003326596	-9.227843E+001	0.003326596	3.729948E-001	-3.2955830	0.003326596	-3.110382E+001
176	0.003349654	-3.205096E+001	0.003349654	-8.600982E+001	0.003349654	3.679967E-001	-3.2721300	0.003349654	-3.110885E+001
177	0.003372873	-3.204447E+001	0.003372873	-9.022211E+001	0.003372873	3.708459E-001	-3.3263370	0.003372873	-3.109542E+001
178	0.003396253	-3.203928E+001	0.003396253	-8.916006E+001	0.003396253	3.672965E-001	-3.3486040	0.003396253	-3.112397E+001
179	0.003419794	-3.204169E+001	0.003419794	-8.999144E+001	0.003419794	3.692969E-001	-3.4504420	0.003419794	-3.109698E+001
180	0.003443499	-3.203146E+001	0.003443499	-9.813862E+001	0.003443499	3.747586E-001	-3.3870850	0.003443499	-3.110635E+001
181	0.003467369	-3.204161E+001	0.003467369	-1.000607E+002	0.003467369	3.729136E-001	-3.4728540	0.003467369	-3.109891E+001
182	0.003491403	-3.205348E+001	0.003491403	-9.012550E+001	0.003491403	3.690125E-001	-3.4615080	0.003491403	-3.108120E+001
183	0.003515604	-3.205728E+001	0.003515604	-8.803514E+001	0.003515604	3.781420E-001	-3.4837120	0.003515604	-3.108881E+001
184	0.003539973	-3.202890E+001	0.003539973	-8.483105E+001	0.003539973	3.736272E-001	-3.5130990	0.003539973	-3.110924E+001
185	0.003564511	-3.201085E+001	0.003564511	-8.396573E+001	0.003564511	3.667588E-001	-3.5487030	0.003564511	-3.111789E+001
186	0.003589219	-3.203111E+001	0.003589219	-9.174063E+001	0.003589219	3.694676E-001	-3.5660310	0.003589219	-3.108675E+001
187	0.003614099	-3.204262E+001	0.003614099	-1.030127E+002	0.003614099	3.695556E-001	-3.5841590	0.003614099	-3.110723E+001
188	0.003639150	-3.202998E+001	0.003639150	-8.576709E+001	0.003639150	3.699426E-001	-3.6340910	0.003639150	-3.111057E+001
189	0.003664376	-3.200446E+001	0.003664376	-9.234171E+001	0.003664376	3.718801E-001	-3.7018960	0.003664376	-3.111847E+001
190	0.003689776	-3.202399E+001	0.003689776	-9.325755E+001	0.003689776	3.735179E-001	-3.6455920	0.003689776	-3.110485E+001
191	0.003715352	-3.200639E+001	0.003715352	-9.784087E+001	0.003715352	3.754562E-001	-3.7603810	0.003715352	-3.110143E+001
192	0.003741106	-3.203372E+001	0.003741106	-8.478755E+001	0.003741106	3.671047E-001	-3.7356870	0.003741106	-3.110690E+001
